Player,Predicted_Draft,Rank
Adem Bona,20,1
Kel'el Ware,20,1
Izan Almansa,23,3
Trevon Brazile,23,3
Zach Edey,23,3
Dalton Knecht,23,3
Jonathan Mogbo,23,3
Yves Missi,24,8
Matas Buzelis,25,9
Devin Carter,25,9
Jesse Edwards,25,9
Enrique Freeman,25,9
Oso Ighodaro,25,9
Keshad Johnson,25,9
Ulrich Chomche,26,15
N'Faly Dante,26,15
DaRon Holmes II,26,15
Pelle Larsson,26,15
Alexandre Sarr,26,15
Tyler Smith,26,15
Jamir Watkins,26,15
Reece Beekman,27,22
Donovan Clingan,27,22
Tristan Da Silva,27,22
Ryan Dunn,27,22
Trentyn Flowers,27,22
Bronny James,27,22
Isaac Jones,27,22
Jaylon Tyson,27,22
Ja'Kobe Walter,27,22
Nique Clifford,28,31
Nikola Djurisic,28,31
Kyle Filipowski,28,31
Tyon Grant-Foster,28,31
Ron Holland II,28,31
Ariel Hukporti,28,31
JT Toppin,28,31
Jaylen Wells,28,31
Michael Ajayi,29,39
Stephon Castle,29,39
Cam Christie,29,39
PJ Hall,29,39
Harrison Ingram,29,39
Kevin McCullar Jr.,29,39
Quinten Post,29,39
Jamal Shead,29,39
Jalen Bridges,30,47
Isaiah Collier,30,47
AJ Johnson,30,47
Alex Karaban,30,47
Bobi Klintman,30,47
Baylor Scheierman,30,47
David Jones,31,53
Dillon Jones,31,53
Ajay Mitchell,31,53
Hunter Sallis,31,53
KJ Simpson,31,53
Nae'Qwan Tomlin,31,53
Robert Dillingham,32,59
Johnny Furphy,32,59
Kyshawn George,32,59
Jared McCain,32,59
Jaxson Robinson,32,59
Terrence Shannon Jr.,32,59
Reed Sheppard,32,59
Cody Williams,32,59
Carlton Carrington,33,67
Tristen Newton,33,67
Antonio Reeves,33,67
Trey Alexander,34,70
Boogie Ellis,34,70
Tyler Kolek,34,70
Justin Edwards,35,73
Coleman Hawkins,35,73
Payton Sandfort,35,73
Cam Spencer,35,73
Mark Sears,37,77
